,County ,State ,FIPS County Code ,2015 Prescribing Rate,2016 Prescribing Rate,diff
2,"Anchorage, AK ",AK ,02020 ,68.2,66.3,-1.9000000000000057
7,"Fairbanks North Star, AK ",AK ,02090 ,50.5,48.4,-2.1000000000000014
10,"Juneau, AK ",AK ,02110 ,81.3,79.8,-1.5
11,"Kenai Peninsula, AK ",AK ,02122 ,100.1,97.9,-2.1999999999999886
12,"Ketchikan Gateway, AK ",AK ,02130 ,101.8,91.5,-10.299999999999997
13,"Kodiak Island, AK ",AK ,02150 ,34.2,33.6,-0.6000000000000014
15,"Matanuska-Susitna, AK ",AK ,02170 ,78.9,76.4,-2.5
19,"Petersburg, AK ",AK ,02195 ,80.3,71.0,-9.299999999999997
20,"Prince of Wales-Hyder, AK ",AK ,02198 ,63.9,56.4,-7.5
21,"Sitka, AK ",AK ,02220 ,10.5,9.5,-1.0
24,"Valdez-Cordova, AK ",AK ,02261 ,43.0,45.0,2.0
26,"Wrangell, AK ",AK ,02275 ,0.4,0.6,0.19999999999999996
29,"Autauga, AL ",AL ,01001 ,129.9,129.6,-0.30000000000001137
30,"Baldwin, AL ",AL ,01003 ,132.1,123.8,-8.299999999999997
31,"Barbour, AL ",AL ,01005 ,93.3,92.7,-0.5999999999999943
32,"Bibb, AL ",AL ,01007 ,69.4,97.2,27.799999999999997
33,"Blount, AL ",AL ,01009 ,57.9,56.9,-1.0
34,"Bullock, AL ",AL ,01011 ,23.4,19.8,-3.599999999999998
35,"Butler, AL ",AL ,01013 ,140.5,135.4,-5.099999999999994
36,"Calhoun, AL ",AL ,01015 ,165.4,161.0,-4.400000000000006
37,"Chambers, AL ",AL ,01017 ,147.3,140.6,-6.700000000000017
38,"Cherokee, AL ",AL ,01019 ,169.2,157.7,-11.5
39,"Chilton, AL ",AL ,01021 ,120.6,120.4,-0.19999999999998863
40,"Choctaw, AL ",AL ,01023 ,97.0,97.8,0.7999999999999972
41,"Clarke, AL ",AL ,01025 ,165.6,164.7,-0.9000000000000057
42,"Clay, AL ",AL ,01027 ,139.7,133.7,-6.0
43,"Cleburne, AL ",AL ,01029 ,51.1,44.2,-6.899999999999999
44,"Coffee, AL ",AL ,01031 ,131.9,129.5,-2.4000000000000057
45,"Colbert, AL ",AL ,01033 ,222.9,208.1,-14.800000000000011
46,"Conecuh, AL ",AL ,01035 ,102.8,93.9,-8.899999999999991
47,"Coosa, AL ",AL ,01037 ,26.8,25.4,-1.4000000000000021
48,"Covington, AL ",AL ,01039 ,198.8,170.9,-27.900000000000006
49,"Crenshaw, AL ",AL ,01041 ,94.0,90.9,-3.0999999999999943
50,"Cullman, AL ",AL ,01043 ,172.0,166.2,-5.800000000000011
51,"Dale, AL ",AL ,01045 ,63.8,78.7,14.900000000000006
52,"Dallas, AL ",AL ,01047 ,115.7,117.8,2.0999999999999943
53,"DeKalb, AL ",AL ,01049 ,117.6,114.4,-3.1999999999999886
54,"Elmore, AL ",AL ,01051 ,113.1,117.3,4.200000000000003
55,"Escambia, AL ",AL ,01053 ,174.3,173.9,-0.4000000000000057
56,"Etowah, AL ",AL ,01055 ,171.9,156.8,-15.099999999999994
57,"Fayette, AL ",AL ,01057 ,162.0,133.3,-28.69999999999999
58,"Franklin, AL ",AL ,01059 ,222.4,223.3,0.9000000000000057
59,"Geneva, AL ",AL ,01061 ,56.4,50.2,-6.199999999999996
60,"Greene, AL ",AL ,01063 ,78.7,79.8,1.0999999999999943
61,"Hale, AL ",AL ,01065 ,85.1,97.7,12.600000000000009
62,"Henry, AL ",AL ,01067 ,49.2,30.7,-18.500000000000004
63,"Houston, AL ",AL ,01069 ,146.6,142.8,-3.799999999999983
64,"Jackson, AL ",AL ,01071 ,117.3,144.6,27.299999999999997
65,"Jefferson, AL ",AL ,01073 ,123.4,116.7,-6.700000000000003
66,"Lamar, AL ",AL ,01075 ,107.9,104.7,-3.200000000000003
67,"Lauderdale, AL ",AL ,01077 ,140.2,127.5,-12.699999999999989
68,"Lawrence, AL ",AL ,01079 ,126.2,114.1,-12.100000000000009
69,"Lee, AL ",AL ,01081 ,63.2,64.5,1.2999999999999972
70,"Limestone, AL ",AL ,01083 ,70.2,76.5,6.299999999999997
71,"Lowndes, AL ",AL ,01085 ,0.4,0.7,0.29999999999999993
72,"Macon, AL ",AL ,01087 ,62.3,60.1,-2.1999999999999957
73,"Madison, AL ",AL ,01089 ,117.4,113.7,-3.700000000000003
74,"Marengo, AL ",AL ,01091 ,130.8,131.7,0.8999999999999773
75,"Marion, AL ",AL ,01093 ,192.9,182.1,-10.800000000000011
76,"Marshall, AL ",AL ,01095 ,200.4,191.1,-9.300000000000011
77,"Mobile, AL ",AL ,01097 ,143.0,133.5,-9.5
78,"Monroe, AL ",AL ,01099 ,134.5,135.7,1.1999999999999886
79,"Montgomery, AL ",AL ,01101 ,87.0,88.0,1.0
